model,dataset,fraction,C,auroc,ece
UNI,BRACS,0.1,1.0,0.8680369036781767,0.14159982698684823
UNI,BRACS,0.1,10.0,0.8723455713193825,0.06092805840710058
UNI,BRACS,0.1,100.0,0.864602873768901,0.2065706268399918
UNI,BRACS,1.0,0.01,0.8567582760097118,0.1813997871829444
UNI,BRACS,1.0,0.1,0.8828222093464521,0.15759941856446016
UNI,BRACS,1.0,1.0,0.9012589709524764,0.04888100911798662
UNI,BRACS,1.0,10.0,0.9018942013599233,0.12709363010350122
UNI,BRACS,1.0,100.0,0.8917780789792072,0.23764148449855713
GigaPath,MHIST,0.01,0.01,0.6584413830361967,0.09064107658654942
GigaPath,MHIST,0.01,0.1,0.6599690857794586,0.09450949937838345
GigaPath,MHIST,0.01,1.0,0.6696305300438201,0.12025281782490445
GigaPath,MHIST,0.01,10.0,0.6963668287412209,0.09795165764919193
GigaPath,MHIST,0.01,100.0,0.7015682213818356,0.14601533384290824
GigaPath,MHIST,0.1,0.01,0.7774836424755387,0.08504018258075947
GigaPath,MHIST,0.1,0.1,0.7924800408187765,0.14558945084646738
GigaPath,MHIST,0.1,1.0,0.8362776877363588,0.14860002438748954
GigaPath,MHIST,0.1,10.0,0.8513476199051565,0.06065493363407428
GigaPath,MHIST,0.1,100.0,0.8290338555735639,0.07895006382071328
GigaPath,MHIST,1.0,0.01,0.8328471096704483,0.14402544882435106
GigaPath,MHIST,1.0,0.1,0.8554970286331715,0.1648696413653392
GigaPath,MHIST,1.0,1.0,0.8868359445344859,0.08268547538533311
GigaPath,MHIST,1.0,10.0,0.9078786241671168,0.03517730884323227
GigaPath,MHIST,1.0,100.0,0.9003781739600217,0.050911144643422564
GigaPath,LungHist700,0.01,0.01,0.6498148659835239,0.1933519693236613
GigaPath,LungHist700,0.01,0.1,0.6501476908637241,0.20658420211938808
GigaPath,LungHist700,0.01,1.0,0.6552185811632839,0.18627318480918809
GigaPath,LungHist700,0.01,10.0,0.6782213390990893,0.10562936588319975
GigaPath,LungHist700,0.01,100.0,0.6931428460872707,0.13034520616720802
GigaPath,LungHist700,0.1,0.01,0.7991301022533532,0.032045902093477914
GigaPath,LungHist700,0.1,0.1,0.8044374304069409,0.03399791452374601
GigaPath,LungHist700,0.1,1.0,0.8372409155212354,0.15214679330225092
GigaPath,LungHist700,0.1,10.0,0.886316036533414,0.17815863112564312
GigaPath,LungHist700,0.1,100.0,0.8947961552788755,0.1136571416726548
GigaPath,LungHist700,1.0,0.01,0.8597794238508506,0.029880353788088787
GigaPath,LungHist700,1.0,0.1,0.9051302995200298,0.16182718613161426
GigaPath,LungHist700,1.0,1.0,0.9645228951402901,0.3120928906883917
GigaPath,LungHist700,1.0,10.0,0.9838107126109069,0.1685960184694418
GigaPath,LungHist700,1.0,100.0,0.9851572125046059,0.08161586130193192
GigaPath,BRACS,0.01,0.01,0.7307218138562411,0.07358269829305543
GigaPath,BRACS,0.01,0.1,0.7332091333619815,0.03988676507214472
GigaPath,BRACS,0.01,1.0,0.7484708350915379,0.08351767051390062
GigaPath,BRACS,0.01,10.0,0.767982819277452,0.08128021357509017
GigaPath,BRACS,0.01,100.0,0.7688846174964704,0.17450081351993119
GigaPath,BRACS,0.1,0.01,0.790486413283474,0.04448638012144515
GigaPath,BRACS,0.1,0.1,0.8151904012964265,0.1314673354962728
GigaPath,BRACS,0.1,1.0,0.8582384208518695,0.14620527808633985
GigaPath,BRACS,0.1,10.0,0.8740489714640943,0.053145805260261934
GigaPath,BRACS,0.1,100.0,0.8685423084574214,0.17866156471591832
GigaPath,BRACS,1.0,0.01,0.8209031354278519,0.1340095315877593
